OBJECTID,CD_GEOCODM,SHAPE_LENG,ANO_BASE,ID_ESTADO,NOME,ID_MUNICIP,OBJECTID_12,AA_REF,AA_MALHA,PAI_CD,MUN_CD,MUN_CD_FINAL,MUN_NM,MUN_NM_FINAL,MUN_NM_UF_FINAL,EST_NM,EST_NM_FINAL,EST_SIGLA_FINAL,RGE_NM,RGE_NM_FINAL,RETIRADA_HU_M3_S,CONSUMO_HU_M3_S,RETORNO_HU_M3_S,RETIRADA_HR_M3_S,CONSUMO_HR_M3_S,RETORNO_HR_M3_S,RETIRADA_IT_M3_S,CONSUMO_IT_M3_S,RETORNO_IT_M3_S,RETIRADA_MN_M3_S,CONSUMO_MN_M3_S,RETORNO_MN_M3_S,RETIRADA_TE_M3_S,CONSUMO_TE_M3_S,RETORNO_TE_M3_S,RETIRADA_AN_M3_S,CONSUMO_AN_M3_S,RETORNO_AN_M3_S,RETIRADA_IR_M3_S,CONSUMO_IR_M3_S,RETORNO_IR_M3_S,RETIRADA_TOTAL_M3_S,CONSUMO_TOTAL_M3_S,RETORNO_TOTAL_M3_S,SHAPEAREA,SHAPELEN
3387,3305000,0.91872359,2013,33,São João da Barra,3305000,3249,2030,2013,BR,3305000,3305000,SÃ£o JoÃ£o da Barra,São João da Barra,RJ - São João da Barra,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.16857926,0.03371585,0.13486341,0.00551939,0.00441551,0.00110388,0.01901189,0.00642889,0.01258299,0,0,0,0,0,0,0.02546421,0.01953957,0.00592465,0.01217628,0.00878132,0.00339496,0.23075103,0.07288114,0.15786988,0,0
3388,3305109,0.23578931,2013,33,São João de Meriti,3305109,3250,2030,2013,BR,3305109,3305109,SÃ£o JoÃ£o de Meriti,São João de Meriti,RJ - São João de Meriti,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,1.53890292,0.30778058,1.23112234,0,0,0,0.09231222,0.02001645,0.07229577,0,0,0,0,0,0,0,0,0,0,0,0,1.63121515,0.32779704,1.30341811,0,0
3389,3305133,0.82950493,2013,33,São José de Ubá,3305133,3251,2030,2013,BR,3305133,3305133,SÃ£o JosÃ© de UbÃ¡,São José de Ubá,RJ - São José de Ubá,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.01428418,0.00285684,0.01142734,0.00457899,0.00366319,0.0009158,0.00020907,6.369e-05,0.00014538,0,0,0,0,0,0,0.02661084,0.01838108,0.00822976,0.01356004,0.00864937,0.00491068,0.05924312,0.03361417,0.02562896,0,0
3390,3305158,1.0156196,2013,33,São José do Vale do Rio Preto,3305158,3252,2030,2013,BR,3305158,3305158,SÃ£o JosÃ© do Vale do Rio Preto,São José do Vale do Rio Preto,RJ - São José do Vale do Rio Preto,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.01211611,0.00242322,0.00969289,0.01795718,0.01436574,0.00359144,0.01641721,0.00242402,0.01399319,2.707e-05,1.236e-05,1.471e-05,0,0,0,0.01168716,0.0082764,0.00341077,0.0983659,0.07264301,0.02572289,0.15657062,0.10014474,0.05642588,0,0
3391,3305208,0.84683612,2013,33,São Pedro da Aldeia,3305208,3253,2030,2013,BR,3305208,3305208,SÃ£o Pedro da Aldeia,São Pedro da Aldeia,RJ - São Pedro da Aldeia,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.31572274,0.06314455,0.25257819,0.00917245,0.00733796,0.00183449,0.00188668,0.00071717,0.0011695,0.00250618,0.00114435,0.00136183,0,0,0,0.02143716,0.01709129,0.00434587,0.00091549,0.00058825,0.00032724,0.3516407,0.09002357,0.26161713,0,0
3392,3305307,1.59828931,2013,33,São Sebastião do Alto,3305307,3254,2030,2013,BR,3305307,3305307,SÃ£o SebastiÃ£o do Alto,São Sebastião do Alto,RJ - São Sebastião do Alto,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.02540331,0.00508066,0.02032265,0.00448206,0.00358565,0.00089641,0.00076622,0.00014258,0.00062363,0,0,0,0,0,0,0.04573524,0.03441357,0.01132167,0.1018199,0.06109194,0.04072796,0.17820674,0.10431441,0.07389232,0,0
3393,3305406,1.25064268,2013,33,Sapucaia,3305406,3255,2030,2013,BR,3305406,3305406,Sapucaia,Sapucaia,RJ - Sapucaia,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.04748191,0.00949638,0.03798553,0.00370081,0.00296065,0.00074016,0.00806499,0.00397615,0.00408884,0,0,0,0,0,0,0.03416652,0.02605298,0.00811354,0.16789327,0.12151807,0.0463752,0.2613075,0.16400422,0.09730327,0,0
3394,3305505,0.8439052,2013,33,Saquarema,3305505,3256,2030,2013,BR,3305505,3305505,Saquarema,Saquarema,RJ - Saquarema,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.14155205,0.02831041,0.11324164,0.01209201,0.00967361,0.0024184,0.00748264,0.00245883,0.00502381,1.519e-05,6.94e-06,8.25e-06,0,0,0,0.00850236,0.0067194,0.00178296,0.01761596,0.01073816,0.00687781,0.18726022,0.05790734,0.12935288,0,0
3395,3305554,0.76673477,2013,33,Seropédica,3305554,3257,2030,2013,BR,3305554,3305554,SeropÃ©dica,Seropédica,RJ - Seropédica,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.29242425,0.05848485,0.2339394,0.01690972,0.01352778,0.00338194,0.01925582,0.00999302,0.00926281,0.01304297,0.00595557,0.0070874,0,0,0,0.00712341,0.0056323,0.00149112,0.05234505,0.03140703,0.02093802,0.40110123,0.12500054,0.27610069,0,0
3396,3305604,1.59543493,2013,33,Silva Jardim,3305604,3258,2030,2013,BR,3305604,3305604,Silva Jardim,Silva Jardim,RJ - Silva Jardim,Rio de Janeiro,Rio de Janeiro,RJ,REGIÃƒO SUDESTE,REGIÃO SUDESTE,0.03075746,0.00615149,0.02460597,0.00490885,0.00392708,0.00098177,0.00154294,0.00031307,0.00122987,8.509e-05,3.885e-05,4.624e-05,0,0,0,0.04713974,0.03754536,0.00959438,0.02272533,0.01609909,0.00662624,0.10715941,0.06407494,0.04308447,0,0
